"filename", "language", "Markdown", "HTML", "JSON", "JavaScript", "CSS", "JavaScript React", "SCSS", "XML", "comment", "blank", "total"
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-hang.scss", "SCSS", 0, 0, 0, 0, 0, 0, 36, 0, 1, 6, 43
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-pop.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 1, 5, 31
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-pulse-grow.scss", "SCSS", 0, 0, 0, 0, 0, 0, 23, 0, 1, 5, 29
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-pulse-shrink.scss", "SCSS", 0, 0, 0, 0, 0, 0, 23, 0, 1, 5, 29
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-pulse.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 1, 6, 32
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-push.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 1, 5, 31
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-rotate.scss", "SCSS", 0, 0, 0, 0, 0, 0, 18, 0, 1, 5, 24
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-shrink.scss", "SCSS", 0, 0, 0, 0, 0, 0, 17, 0, 1, 4, 22
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-sink-away.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 2, 6, 33
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-sink.scss", "SCSS", 0, 0, 0, 0, 0, 0, 17, 0, 1, 4, 22
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-spin.scss", "SCSS", 0, 0, 0, 0, 0, 0, 15, 0, 1, 4, 20
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-up.scss", "SCSS", 0, 0, 0, 0, 0, 0, 26, 0, 2, 5, 33
